InsightId,Individual_Id,Event_Timestamp,Current_Sentiment,Lifestyle_Quotient,Health_Profile,Fitness_Milestone,Purchase_Intent,Favourite_Brand,Favourite_Destination,Hobby,Imminent_Event,data_source,Individual_Name,Individual_FirstName,Individual_LastName,Individual_Email,Individual_Phone
INSIGHT_0001,0PKKX000000TfiT4AS,2025-10-23T18:20:48.700636,Anxious,Homebody,Healthy,Elite,Tepid,Garmin,Singapore,Hiking,Picking up new Tesla Model 3 from showroom today,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0002,0PKKX000000TfiT4AS,2025-08-24T23:25:48.700636,Stressed,Homebody,Fit,Elite,Medium,Patagonia,Singapore,Hiking,Birthday party tonight at favorite restaurant,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0003,0PKKX000000TfiT4AS,2025-08-09T20:42:48.700636,Elated,Homebody,Fit,Elite,Tepid,Patagonia,Switzerland,Hiking,Gym membership renewal due next week,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0004,0PKKX000000TfiT4AS,2025-10-12T08:56:48.700636,Elated,Homebody,Fit,Elite,Tepid,Patagonia,Switzerland,Hiking,House closing scheduled for end of month,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0005,0PKKX000000TfiT4AS,2025-09-13T21:15:48.700636,Elated,Luxury Seeker,Fit,Rookie,Immediate,Patagonia,Switzerland,Hiking,Moving to new apartment this weekend,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0006,0PKKX000000TfiT4AS,2025-10-18T07:30:48.700636,Elated,Luxury Seeker,Fit,Rookie,Low,Patagonia,Switzerland,Hiking,Graduation ceremony next week,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0007,0PKKX000000TfiT4AS,2025-10-18T17:38:48.700636,Elated,Luxury Seeker,Stressed,Rookie,Medium,Patagonia,Switzerland,Hiking,Attending product demo at Apple Store tomorrow afternoon,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0008,0PKKX000000TfiT4AS,2025-08-25T15:45:48.700636,Elated,Luxury Seeker,Stressed,Beginner,Researching,Tesla,Switzerland,Hiking,Going on first date at Italian restaurant tonight,synthetic_insights,Rajesh Rao,Rajesh,Rao,rajesh.rao@enterprise.com,+919886217756
INSIGHT_0009,0PKKX000000Tfjv4AC,2025-10-11T00:38:48.700636,Anxious,Luxury Seeker,Hypertensive,Amateur,Considering,Samsung,Maldives,Reading,Baby shower for sister happening this Sunday,synthetic_insights,Biswarup Banerjee,Biswarup,Banerjee,bbanerjee@salesforce.com,+919154321430
INSIGHT_0010,0PKKX000000Tfjv4AC,2025-09-05T14:59:48.700636,Frustrated,Luxury Seeker,Hypertensive,Elite,Very High,Samsung,Maldives,Reading,Photography workshop this Saturday,synthetic_insights,Biswarup Banerjee,Biswarup,Banerjee,bbanerjee@salesforce.com,+919154321430
INSIGHT_0011,0PKKX000000Tfjv4AC,2025-09-12T01:40:48.700636,Frustrated,Luxury Seeker,Hypertensive,Elite,Tepid,Samsung,Maldives,Reading,Book club meeting at local cafe tomorrow,synthetic_insights,Biswarup Banerjee,Biswarup,Banerjee,bbanerjee@salesforce.com,+919154321430
INSIGHT_0012,0PKKX000000Tfjv4AC,2025-08-27T00:24:48.700636,Frustrated,Luxury Seeker,Hypertensive,Rookie,Very High,Samsung,Maldives,Reading,Attending friend's wedding ceremony this weekend,synthetic_insights,Biswarup Banerjee,Biswarup,Banerjee,bbanerjee@salesforce.com,+919154321430
INSIGHT_0013,0PKKX000000Tfjv4AC,2025-08-11T04:14:48.700636,Frustrated,Minimalist,Stressed,Rookie,Medium,Target,Maldives,Reading,Virtual yoga class starting in 2 hours,synthetic_insights,Biswarup Banerjee,Biswarup,Banerjee,bbanerjee@salesforce.com,+919154321430
INSIGHT_0014,0PKKX000000Tfjv4AC,2025-08-08T20:02:48.700636,Frustrated,Luxury Seeker,Sedentary,Rookie,Not Interested,Target,Portugal,Reading,Dental appointment scheduled for Thursday,synthetic_insights,Biswarup Banerjee,Biswarup,Banerjee,bbanerjee@salesforce.com,+919154321430
INSIGHT_0015,0PKKX000000TfiZ4AS,2025-10-22T14:30:48.700636,Anxious,Connoisseur,Healthy,Champion,Medium,Whole Foods,San Francisco,Coffee Roasting,House closing scheduled for end of month,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0016,0PKKX000000TfiZ4AS,2025-09-09T20:58:48.700636,Anxious,Connoisseur,Healthy,Professional,Immediate,Whole Foods,San Francisco,Coffee Roasting,Surprise girlfriend with a birthday gift tomorrow,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0017,0PKKX000000TfiZ4AS,2025-09-16T05:17:48.700636,Frustrated,Foodie,Stressed,Professional,Immediate,Whole Foods,San Francisco,Coffee Roasting,Surprise girlfriend with a birthday gift tomorrow,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0018,0PKKX000000TfiZ4AS,2025-10-06T04:32:48.700636,Frustrated,Luxury Seeker,Stressed,Professional,Not Interested,Whole Foods,San Francisco,Coffee Roasting,Waiting anxiously for Samsung mobile phone product launch next week,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0019,0PKKX000000TfiZ4AS,2025-09-12T22:27:48.700636,Frustrated,Luxury Seeker,Stressed,Professional,High,Whole Foods,San Francisco,Coffee Roasting,Baby shower for sister happening this Sunday,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0020,0PKKX000000TfiZ4AS,2025-10-16T01:28:48.700636,Frustrated,Luxury Seeker,Stressed,Professional,Very High,Tesla,San Francisco,Coffee Roasting,Photography workshop this Saturday,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0021,0PKKX000000TfiZ4AS,2025-08-11T15:58:48.700636,Frustrated,Luxury Seeker,Stressed,Professional,Considering,Lululemon,San Francisco,Coffee Roasting,Cooking class scheduled for Tuesday evening,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0022,0PKKX000000TfiZ4AS,2025-09-30T22:57:48.700636,Frustrated,Luxury Seeker,Stressed,Professional,Considering,Lululemon,San Francisco,Coffee Roasting,Starting online MBA program next semester,synthetic_insights,Deepika Chauhan,Deepika,Chauhan,deepika.chauhan@hotmail.com,+917900406719
INSIGHT_0023,0PKKX000000TfiL4AS,2025-09-07T02:11:48.700636,Excited,Homebody,Sick,Elite,Very High,Netflix,London,Travel Blogging,Baby shower for sister happening this Sunday,synthetic_insights,Jyoti Uppal,Jyoti,Uppal,jyoti.uppal@company.com,+919583788564
INSIGHT_0024,0PKKX000000TfiL4AS,2025-08-29T16:29:48.700636,Excited,Homebody,Sick,Elite,High,Netflix,London,Travel Blogging,Attending product demo at Apple Store tomorrow afternoon,synthetic_insights,Jyoti Uppal,Jyoti,Uppal,jyoti.uppal@company.com,+919583788564
INSIGHT_0025,0PKKX000000TfiL4AS,2025-08-05T08:44:48.700636,Excited,Homebody,Sick,Elite,High,Netflix,London,Travel Blogging,Starting new diet plan from Monday,synthetic_insights,Jyoti Uppal,Jyoti,Uppal,jyoti.uppal@company.com,+919583788564
INSIGHT_0026,0PKKX000000TfiL4AS,2025-10-10T22:35:48.700636,Excited,Homebody,Sick,Elite,Not Interested,Netflix,London,Travel Blogging,Gym membership renewal due next week,synthetic_insights,Jyoti Uppal,Jyoti,Uppal,jyoti.uppal@company.com,+919583788564
INSIGHT_0027,0PKKX000000TfiL4AS,2025-09-11T10:11:48.700636,Excited,Homebody,Fit,Champion,Very High,Netflix,London,Travel Blogging,Planning surprise anniversary dinner for spouse this weekend,synthetic_insights,Jyoti Uppal,Jyoti,Uppal,jyoti.uppal@company.com,+919583788564
INSIGHT_0028,0PKKX000000TfiL4AS,2025-08-01T15:47:48.700636,Angry,Homebody,Fit,Champion,Not Interested,Netflix,London,Travel Blogging,House closing scheduled for end of month,synthetic_insights,Jyoti Uppal,Jyoti,Uppal,jyoti.uppal@company.com,+919583788564
INSIGHT_0029,0PKKX000000TfiL4AS,2025-08-15T17:04:48.700636,Angry,Adventurer,Fit,Champion,Immediate,Netflix,London,Travel Blogging,Graduation ceremony next week,synthetic_insights,Jyoti Uppal,Jyoti,Uppal,jyoti.uppal@company.com,+919583788564
INSIGHT_0030,0PKKX000000Tfif4AC,2025-08-23T11:00:48.700636,Angry,Health Enthusiast,Sedentary,Champion,Not Interested,Netflix,London,Playing Guitar,Waiting anxiously for Samsung mobile phone product launch next week,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
INSIGHT_0031,0PKKX000000Tfif4AC,2025-10-04T10:30:48.700636,Angry,Health Enthusiast,Active,Advanced,Very High,Netflix,London,Playing Guitar,Concert tickets for favorite band next Friday,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
INSIGHT_0032,0PKKX000000Tfif4AC,2025-08-17T07:49:48.700636,Angry,Adventurer,Active,Advanced,Considering,Netflix,London,Playing Guitar,Planning surprise anniversary dinner for spouse this weekend,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
INSIGHT_0033,0PKKX000000Tfif4AC,2025-10-20T22:31:48.700636,Angry,Adventurer,Active,Advanced,Very High,Netflix,Maldives,Playing Guitar,Birthday party tonight at favorite restaurant,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
INSIGHT_0034,0PKKX000000Tfif4AC,2025-08-01T20:01:48.700636,Angry,Adventurer,Active,Advanced,High,Netflix,Maldives,Playing Guitar,Scheduled car service appointment tomorrow,synthetic_insights,Archana Tripathi,Archana,Tripathi,archana.tripathi@yahoo.com,+918167575960
