VehicleId,Individual_Id,Individual_Name,Individual_Email,VIN,Make,Model,ModelYear,Trim,RegistrationNumber,RegistrationState,Color,FuelType,BodyType,Transmission,PurchaseDate,Mileage,Condition,MarketValue,IsPrimaryVehicle,TelematicsDeviceId,IsTelematicsActive,InsuranceExpiryDate,ServiceDueDate,ServiceDueMileage,data_source
VEH_001_1,0PKKX000000Tfjv4AC,Biswarup Banerjee,bbanerjee@salesforce.com,JFB27388074M0FHVY,Maruti Suzuki,Baleno,2016,Top,RJ03CZ3324,RJ,Beige,Diesel,Sedan,Automatic,2018-02-07,81315,Certified Pre-Owned,382023,true,TELE_827011,true,2020-02-21,2026-02-03,90000,synthetic
VEH_002_1,0PKKX000000Tfia4AC,Ashish Desai,ashish.desai@company.com,YLJ584967K4051A03,Kia,Seltos,2024,Luxury,HR47QJ5239,HR,Red,Electric,Sedan,CVT,2024-05-31,18867,New,1630394,true,TELE_612138,true,2034-06-29,2026-04-20,20000,synthetic
VEH_003_1,0PKKX000000TfiZ4AS,Deepika Chauhan,deepika.chauhan@hotmail.com,GJW96832SX4B2MW6H,Renault,Kiger,2023,Mid,TN45AA2542,TN,Brown,CNG,Compact SUV,CVT,2018-02-17,84273,New,395787,true,,false,2027-03-19,2026-02-09,90000,synthetic
VEH_005_1,0PKKX000000Tfif4AC,Archana Tripathi,archana.tripathi@yahoo.com,ZWK31836VLNAPSD81,Kia,Carens,2024,Mid,DL19QZ3362,DL,Red,Diesel,Compact SUV,AMT,2018-05-04,76799,New,164555,true,TELE_344240,true,2028-05-24,2026-02-11,80000,synthetic
VEH_007_1,0PKKX000000Tfij4AC,Radha Mishra,radha.mishra@hotmail.com,KMH825037M2C7ESTB,Tata,Punch,2023,Base,TN12KB1698,TN,Blue,Diesel,Compact SUV,Manual,2020-06-29,44643,New,855058,true,TELE_691366,true,2029-06-28,2025-12-28,50000,synthetic
VEH_007_2,0PKKX000000Tfij4AC,Radha Mishra,radha.mishra@hotmail.com,HLU308467J7JVGGYG,Honda,City,2016,Base,TN07TC4243,TN,Black,Hybrid,Compact SUV,CVT,2017-11-17,81782,Used,345393,false,TELE_933035,true,2019-11-30,2026-03-04,90000,synthetic
VEH_007_3,0PKKX000000Tfij4AC,Radha Mishra,radha.mishra@hotmail.com,XTP35755W65CNVLJ9,Renault,Kwid,2021,Luxury,WB26SW3680,WB,Blue,Diesel,MPV,AMT,2016-04-25,134517,New,242550,false,,false,2023-05-15,2026-01-25,140000,synthetic
VEH_008_1,0PKKX000000Tfic4AC,Megha Pandey,megha.pandey@hotmail.com,GRY35794EPUL34WFY,Toyota,Innova Crysta,2020,Mid,GJ41CH9818,GJ,Black,Petrol,MPV,Manual,2018-08-04,89739,Used,532379,true,,false,2024-08-21,2025-12-17,90000,synthetic
VEH_009_1,0PKKX000000Tfii4AC,Varun Mehta,varun.mehta@yahoo.com,HJD88661CXM0RWWXF,Honda,Civic,2015,Base,HR32GG9930,HR,Black,CNG,MPV,CVT,2024-02-14,19395,Used,942291,true,,false,2025-03-16,2026-03-09,20000,synthetic
VEH_010_1,0PKKX000000TfiU4AS,Sarika Ahluwalia,sarika.ahluwalia@yahoo.com,KMS57859ST4Y3XHD0,Kia,Seltos,2019,Base,TN45EC4876,TN,Grey,Petrol,MPV,Automatic,2022-07-17,27553,Used,1271990,true,,false,2027-07-26,2025-12-14,30000,synthetic
